id,product,product_asin,review_title,rating,date,location,flavor,size,type
a0a2e67424917021e3b188e1a7d7e0cd,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Love Genexa!,5.0,2024-01-18,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
9ffbaa4e74eebc59073fe12662d7a8e2,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Wonderful,5.0,2024-01-01,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
882aa58b7bc5cd81ee4764ce33887f11,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,All Natural and Gluten free!,5.0,2023-12-16,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
557244a9231dc217e8fcc0f4f841439e,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Healthy replacement for TUMS,5.0,2023-12-14,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
b33b6d1508b7c539c7bcba589b999ce9,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Ok,5.0,2023-12-02,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
3786f8db6bd96c72b945ea4b992454eb,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,DYE Free and AMAZING Taste,5.0,2023-11-22,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
cdd043d759ff2235d8d8f95ce079585e,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Great,5.0,2023-11-06,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
630972b442fbca8cf3e767be564b77f1,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Works great,5.0,2023-10-31,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
8f7f77da831a65f70446ed0e8b5d77e4,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Perfect,5.0,2023-10-28,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
e654ef44458a6c518d9867babf1a8909,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,great swap for tums,5.0,2023-10-20,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
3f7fee7cd80c5f78da38c0592fd24cf3,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Really works,5.0,2023-10-18,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
324c9d71f66d084ec4d9cfe280f54a56,"Genexa Clean Antacid Maximum Strength Chewable Tablets, Dye Free, 0% Artificial Additives, Calcium Carbonate Relief for Heartburn, Acid Indigestion, & Upset Stomach, Organic Berry Flavor, 72 ct",B07B9P16WJ,Thankful for clean gf medicine,5.0,2023-10-16,United States,Organic Berry & Vanilla,72 Count (Pack of 1),Verified Purchase
